,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
16,8,1,1,3,0,1,1,0,0,0,0,0,0,0,0
1,9,2,2,6,1,0,1,0,0,0,0,0,0,0,0
2,9,4,0,1,1,1,1,0,0,0,0,0,0,0,0
3,9,3,0,2,1,1,1,0,0,0,0,0,0,0,0
4,9,2,2,0,2,2,0,2,0,0,0,0,0,0,0
5,9,2,0,0,3,1,0,0,0,1,0,0,0,0,0
6,9,0,1,3,0,1,0,0,0,0,0,0,0,0,0
7,9,0,3,0,0,0,2,0,0,0,0,0,0,0,0
8,9,1,2,3,0,3,0,0,1,0,0,0,0,0,0
9,9,3,3,3,2,1,1,0,1,0,0,1,0,0,0
10,9,1,2,1,2,1,0,1,0,0,0,0,0,0,0
11,9,6,3,3,0,0,0,0,0,0,0,0,0,0,0
12,9,5,3,1,0,0,1,0,1,0,0,0,0,0,0
13,9,1,4,4,0,0,1,1,0,1,0,0,0,0,0
14,9,2,1,0,1,1,0,0,0,0,0,0,0,0,0
15,9,3,1,1,0,0,0,1,0,0,0,0,0,0,0
16,9,1,2,2,1,0,0,0,0,0,0,0,0,0,0
1,10,1,1,0,4,0,1,0,0,1,0,0,0,0,0
2,10,1,2,3,0,0,0,0,0,1,0,0,0,0,0
3,10,0,2,3,1,1,0,1,0,1,0,0,0,0,0
4,10,3,3,2,1,0,0,0,0,0,0,0,0,0,0
5,10,0,2,3,1,0,1,0,1,0,0,0,0,0,0
6,10,5,0,2,2,0,1,0,0,0,0,0,0,0,0
7,10,0,3,3,0,1,0,0,0,0,0,0,0,0,0
8,10,2,2,4,1,0,0,0,0,0,0,0,0,0,0
9,10,1,3,1,0,1,0,0,0,0,0,0,0,0,0
10,10,1,2,1,1,0,2,1,0,0,0,1,0,0,0
11,10,5,2,0,2,0,0,0,0,0,0,0,0,0,0
12,10,2,1,2,1,0,1,0,0,0,1,0,0,0,0
13,10,2,5,2,0,0,0,0,0,0,1,0,0,0,0
14,10,1,2,2,0,0,0,0,1,1,0,0,0,0,0
15,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,10,2,2,1,0,0,1,1,0,0,0,0,0,0,0
1,11,0,4,1,1,1,0,1,0,0,0,0,0,0,0
2,11,1,1,2,1,2,1,0,0,0,0,0,0,0,0
3,11,2,1,1,0,1,0,1,1,1,0,0,0,0,0
4,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0
5,11,2,1,3,1,1,0,1,0,0,0,0,0,0,0
6,11,1,4,2,2,2,1,1,0,0,0,0,0,0,0
7,11,2,1,3,0,1,0,0,0,0,1,0,0,0,0
8,11,1,0,3,0,1,1,0,0,0,0,1,0,0,0
9,11,2,0,1,0,3,1,0,0,0,0,0,1,0,0
10,11,1,1,3,0,0,2,1,1,0,0,0,0,0,0
11,11,1,1,0,2,0,1,0,0,0,0,0,0,0,0
